Fecha;Tipo_de_festivo
15/09/2017;Galicia
15/09/2017;Madrid
15/09/2017;Melilla
15/09/2017;Murcia
15/09/2017;Navarra
15/09/2017;Valencia
15/09/2017;La Rioja
09/10/2017;Andalucia
09/10/2017;Aragón
09/10/2017;Asturias
09/10/2017;Baleares
09/10/2017;Canarias
09/10/2017;Cantabria
09/10/2017;Castilla y León
09/10/2017;Castilla La Mancha
09/10/2017;Cataluña
09/10/2017;Ceuta
09/10/2017;País Vasco
09/10/2017;Extremadura
09/10/2017;Galicia
09/10/2017;Madrid
09/10/2017;Melilla
09/10/2017;Murcia
09/10/2017;Navarra
09/10/2017;Valencia
09/10/2017;La Rioja
12/10/2017;Festivos nacionales
25/10/2017;Andalucia
25/10/2017;Aragón
25/10/2017;Asturias
25/10/2017;Baleares
25/10/2017;Canarias
25/10/2017;Cantabria
25/10/2017;Castilla y León
25/10/2017;Castilla La Mancha
25/10/2017;Cataluña
25/10/2017;Ceuta
25/10/2017;País Vasco
25/10/2017;Extremadura
25/10/2017;Galicia
25/10/2017;Madrid
25/10/2017;Melilla
25/10/2017;Murcia
25/10/2017;Navarra
25/10/2017;Valencia
25/10/2017;La Rioja
01/11/2017;Festivos nacionales
09/11/2017;Andalucia
09/11/2017;Aragón
09/11/2017;Asturias
09/11/2017;Baleares
09/11/2017;Canarias
09/11/2017;Cantabria
09/11/2017;Castilla y León
09/11/2017;Castilla La Mancha
09/11/2017;Cataluña
09/11/2017;Ceuta
09/11/2017;País Vasco
09/11/2017;Extremadura
09/11/2017;Galicia
09/11/2017;Madrid
09/11/2017;Melilla
09/11/2017;Murcia
09/11/2017;Navarra
09/11/2017;Valencia
09/11/2017;La Rioja
03/12/2017;Andalucia
03/12/2017;Aragón
03/12/2017;Asturias
03/12/2017;Baleares
03/12/2017;Canarias
03/12/2017;Cantabria
03/12/2017;Castilla y León
03/12/2017;Castilla La Mancha
03/12/2017;Cataluña
03/12/2017;Ceuta
03/12/2017;País Vasco
03/12/2017;Extremadura
03/12/2017;Galicia
03/12/2017;Madrid
03/12/2017;Melilla
