,Real,Pred
607,65.43,66.730316
608,67.38,70.096794
609,70.67,71.320045
610,68.2,71.728294
611,67.58,71.89665
612,65.78,71.0811
613,64.28,69.26595
614,62.97,66.70648
615,63.65,66.8951
616,65.9,69.33983
617,68.17,72.01565
618,70.48,73.78508
619,70.6,74.74159
620,67.33,75.20463
621,64.94,72.503456
622,60.64,67.15123
623,52.56,62.34799
624,46.87,50.447414
625,44.93,47.28354
626,43.83,44.6307
627,42.4,42.817627
628,43.64,42.26275
629,44.41,45.159676
630,53.14,53.697773
631,63.26,61.842743
632,65.41,64.80108
633,66.1,65.55844
634,64.98,65.36733
635,64.0,64.58804
636,60.74,62.08784
637,59.31,59.328194
638,56.35,57.36614
639,53.2,57.584972
640,55.03,60.59065
641,60.49,64.34845
642,63.33,66.5832
643,63.74,67.51242
644,59.68,67.53812
645,58.0,64.55325
646,51.02,59.19975
647,45.51,54.859474
648,42.71,46.560295
649,38.25,43.911903
650,33.66,41.764988
651,29.989999999999995,40.28933
652,29.0,40.389698
653,33.0,43.77538
654,45.0,53.560356
655,55.34,61.53302
656,58.6,63.308582
657,58.89,63.187565
658,56.87,61.67003
659,54.67,59.142097
660,53.2,55.629143
661,49.01,52.110275
662,45.33,49.190544
663,44.85,49.099575
664,48.85,54.44114
665,54.68,60.95523
666,60.79,63.492363
667,59.38,63.960026
668,54.34,63.050003
669,50.03,57.588856
670,45.9,52.888073
671,35.0,48.79818
672,12.969999999999999,40.19465
673,5.099999999999994,38.39187
674,2.4000000000000057,36.851707
675,1.95000000000001,35.790195
676,1.95000000000001,35.858967
677,1.95000000000001,37.479713
678,1.95000000000001,42.56412
679,1.95000000000001,52.496906
680,1.95000000000001,57.159134
681,3.999999999999993,57.985996
682,5.099999999999994,57.56566
683,1.95000000000001,56.326706
684,1.95000000000001,54.413334
685,1.95000000000001,52.412586
686,1.95000000000001,50.75973
687,1.95000000000001,52.154182
688,1.95000000000001,55.5485
689,1.95000000000001,57.625168
690,5.099999999999994,57.973156
691,8.400000000000006,57.25891
692,14.0,55.809937
693,10.990000000000002,51.506783
694,5.099999999999994,47.770325
695,1.95000000000001,44.757755
696,1.95000000000001,32.295483
697,1.8999999999999986,30.213142
698,0.9999999999999929,28.572823
699,0.1599999999999966,27.454762
700,0.1599999999999966,27.796394
701,0.1599999999999966,29.834526
702,0.1599999999999966,35.946995
703,0.1599999999999966,44.789497
704,0.1599999999999966,48.96799
705,0.9999999999999929,49.76079
706,1.95000000000001,49.440956
707,1.95000000000001,48.906425
708,1.95000000000001,48.166786
709,1.95000000000001,47.451153
710,1.95000000000001,46.76923
711,1.9400000000000048,47.308125
712,1.8999999999999986,48.981464
