Fecha,Pred,Real,MAE,MAPE
2021-04-04 22:00:00,47.48607664949303,43.04,4.44607664949303,10.330103739528415
2021-04-04 23:00:00,41.47131191959358,39.97,1.501311919593583,3.7560968716376855
2021-04-05 00:00:00,34.72695210061839,43.97,9.243047899381608,21.0212597211317
2021-04-05 01:00:00,33.50515045619322,37.5,3.9948495438067795,10.652932116818079
2021-04-05 02:00:00,33.166591555181824,34.05,0.8834084448181727,2.5944447718595383
2021-04-05 03:00:00,33.547601162511924,34.05,0.502398837488073,1.4754738252219473
2021-04-05 04:00:00,33.49017918854332,34.05,0.5598208114566745,1.6441139837200427
2021-04-05 05:00:00,35.56146948307714,35.97,0.408530516922859,1.1357534526629387
2021-04-05 06:00:00,40.24648711723548,47.0,6.753512882764518,14.369176346307485
2021-04-05 07:00:00,46.12784223799629,47.1,0.972157762003711,2.0640292186915308
2021-04-05 08:00:00,49.06694178409863,48.54,0.5269417840986321,1.0855825795192258
2021-04-05 09:00:00,49.076348293642454,49.1,0.023651706357547653,0.04817048137993412
2021-04-05 10:00:00,47.13695551890875,49.11,1.9730444810912502,4.017602282816637
2021-04-05 11:00:00,42.49608300822228,48.74,6.2439169917777235,12.810662683171364
2021-04-05 12:00:00,39.17679065002229,48.1,8.92320934997771,18.55137078997445
2021-04-05 13:00:00,34.141545267182906,48.32,14.178454732817094,29.342828503346635
2021-04-05 14:00:00,30.333122019171377,47.9,17.56687798082862,36.674066765821756
2021-04-05 15:00:00,25.755798159998914,38.08,12.324201840001084,32.36397542017092
2021-04-05 16:00:00,24.213441466171503,33.48,9.266558533828494,27.677892872844968
2021-04-05 17:00:00,26.421490824194272,31.9,5.478509175805726,17.174009955503845
2021-04-05 18:00:00,34.07797544550987,34.5,0.4220245544901289,1.2232595782322575
2021-04-05 19:00:00,43.231649611146224,48.53,5.298350388853777,10.917680586964304
2021-04-05 20:00:00,51.782257435099794,53.32,1.5377425649002063,2.883988306264453
2021-04-05 21:00:00,54.37459178780598,60.68,6.305408212194017,10.391246229719869
2021-04-05 22:00:00,48.3372471485712,58.16,9.822752851428795,16.88918990960935
2021-04-05 23:00:00,41.794271455685184,57.1,15.305728544314817,26.80512879915029
2021-04-06 00:00:00,42.386119933976175,58.0,15.613880066023825,26.92048287245487
2021-04-06 01:00:00,37.849750815277325,50.28,12.430249184722676,24.722054862216936
2021-04-06 02:00:00,34.6870614181731,48.13,13.442938581826901,27.93047700358799
2021-04-06 03:00:00,33.575762312436034,44.0,10.424237687563966,23.691449289918108
2021-04-06 04:00:00,33.74046330176366,43.93,10.189536698236338,23.19493898983915
2021-04-06 05:00:00,36.719491185520056,48.3,11.580508814479941,23.976208725631352
2021-04-06 06:00:00,45.170953700544786,58.02,12.849046299455217,22.145891588168247
2021-04-06 07:00:00,50.80457078107405,63.46,12.655429218925953,19.94237191762678
2021-04-06 08:00:00,54.54735268196591,69.01,14.462647318034094,20.95732113901477
2021-04-06 09:00:00,50.331853979157515,66.05,15.718146020842482,23.79734446758892
2021-04-06 10:00:00,45.19337963537602,62.36,17.16662036462398,27.528255876561868
2021-04-06 11:00:00,38.60415433395636,60.05,21.44584566604364,35.71331501422754
