,Predicciones,Reales
2021-01-10 07:00:00,65.06106666666665,50.23
2021-01-10 08:00:00,67.49939999999998,51.6
2021-01-10 09:00:00,72.59646666666664,57.43
2021-01-10 10:00:00,76.5986666666667,60.9
2021-01-10 11:00:00,80.71686666666669,61.53
2021-01-10 12:00:00,77.39780000000003,60.39
2021-01-10 13:00:00,79.52853333333339,56.41
2021-01-10 14:00:00,79.53033333333337,56.99
2021-01-10 15:00:00,76.43800000000006,56.41
2021-01-10 16:00:00,74.49400000000001,56.52
2021-01-10 17:00:00,85.72886666666673,62.6
2021-01-10 18:00:00,88.82780000000004,95.0
2021-01-10 19:00:00,102.05893333333329,107.75
2021-01-10 20:00:00,104.4042666666666,110.29
2021-01-10 21:00:00,104.55093333333328,110.0
2021-01-10 22:00:00,90.72793333333337,100.36
2021-01-10 23:00:00,79.39413333333337,67.78
2021-01-11 00:00:00,58.04786666666664,58.25
2021-01-11 01:00:00,53.11553333333337,53.19
2021-01-11 02:00:00,51.8930666666667,50.87
2021-01-11 03:00:00,48.71026666666661,47.69
2021-01-11 04:00:00,48.84193333333329,46.36
2021-01-11 05:00:00,49.679799999999986,52.3
2021-01-11 06:00:00,55.636399999999995,62.51
2021-01-11 07:00:00,58.74486666666667,77.9
2021-01-11 08:00:00,66.24379999999998,95.98
2021-01-11 09:00:00,71.16226666666667,98.42
2021-01-11 10:00:00,74.60426666666669,95.98
2021-01-11 11:00:00,75.77266666666667,83.35
2021-01-11 12:00:00,72.89546666666668,80.0
2021-01-11 13:00:00,70.46660000000003,80.98
2021-01-11 14:00:00,70.36993333333335,77.75
2021-01-11 15:00:00,70.4628666666667,75.02
2021-01-11 16:00:00,69.95133333333335,83.35
2021-01-11 17:00:00,85.60820000000001,98.13
2021-01-11 18:00:00,108.72113333333341,109.37
2021-01-11 19:00:00,112.49739999999998,120.0
2021-01-11 20:00:00,112.69166666666666,121.14
2021-01-11 21:00:00,112.61726666666667,120.0
2021-01-11 22:00:00,112.07933333333337,105.0
2021-01-11 23:00:00,88.51273333333333,85.26
2021-01-12 00:00:00,78.86726666666661,75.32
2021-01-12 01:00:00,68.17366666666666,62.5
2021-01-12 02:00:00,61.59233333333337,56.5
2021-01-12 03:00:00,56.89233333333336,55.68
2021-01-12 04:00:00,54.536666666666676,55.18
2021-01-12 05:00:00,62.52353333333334,56.01
2021-01-12 06:00:00,71.66006666666671,66.64
2021-01-12 07:00:00,81.00660000000005,84.05
2021-01-12 08:00:00,91.87453333333342,98.42
2021-01-12 09:00:00,93.4864666666667,103.04
2021-01-12 10:00:00,94.32546666666667,100.69
2021-01-12 11:00:00,93.4648666666667,98.13
2021-01-12 12:00:00,92.54813333333335,94.05
2021-01-12 13:00:00,92.61906666666668,94.05
2021-01-12 14:00:00,91.9166666666667,88.61
2021-01-12 15:00:00,91.3006666666667,74.37
2021-01-12 16:00:00,93.16360000000006,75.03
2021-01-12 17:00:00,93.84653333333335,88.05
2021-01-12 18:00:00,112.47946666666665,102.05
2021-01-12 19:00:00,115.32486666666664,110.89
2021-01-12 20:00:00,115.50019999999996,114.02
2021-01-12 21:00:00,115.38013333333333,107.99
2021-01-12 22:00:00,110.9340666666667,90.0
2021-01-12 23:00:00,87.97480000000009,70.61
2021-01-13 00:00:00,79.64253333333336,74.91
2021-01-13 01:00:00,71.62893333333332,72.5
2021-01-13 02:00:00,64.53820000000002,65.0
2021-01-13 03:00:00,60.33906666666672,63.0
