,Real,Pred,MAE,MAPE
2021-08-12 06:00:00,113.73,118.0292,4.29919769287109,3.78017910214639
2021-08-12 07:00:00,119.22,120.42949,1.2094891357421886,1.0145018753079926
2021-08-12 08:00:00,121.93,122.42538,0.49537689208983693,0.4062797441891552
2021-08-12 09:00:00,120.0,119.354675,0.64532470703125,0.5377705891927084
2021-08-12 10:00:00,117.87,116.36591,1.5040866088867233,1.276055492395625
2021-08-12 11:00:00,117.87,115.160255,2.7097445678710983,2.298926417129972
2021-08-12 12:00:00,118.72,113.25451,5.46549102783203,4.603681795680618
2021-08-12 13:00:00,119.22,113.08967,6.130331726074218,5.142032986138415
2021-08-12 14:00:00,119.22,112.00313,7.216871948242186,6.0534071030382375
2021-08-12 15:00:00,117.87,110.029976,7.840024108886723,6.651416059121678
2021-08-12 16:00:00,115.0,108.84476,6.155242919921875,5.352385147758152
2021-08-12 17:00:00,117.87,113.17235,4.697651977539067,3.985451749842256
2021-08-12 18:00:00,117.87,123.10678,5.2367810058593705,4.442844664341537
2021-08-12 19:00:00,120.67,129.01184,8.341840820312498,6.912936786535591
2021-08-12 20:00:00,126.0,129.09825,3.0982513427734375,2.4589296371217757
2021-08-12 21:00:00,128.54,127.83323,0.7067709350585858,0.5498451338560649
2021-08-12 22:00:00,128.01,121.080826,6.929174194335928,5.412994449133606
2021-08-12 23:00:00,123.18,117.345856,5.834144287109382,4.736275602459313
2021-08-13 00:00:00,124.59,123.84106,0.7489431762695347,0.6011262350666463
2021-08-13 01:00:00,123.35,116.66216,6.687837219238276,5.421838037485428
2021-08-13 02:00:00,120.0,109.65318,10.346817016601562,8.622347513834635
2021-08-13 03:00:00,118.05,105.03016,13.019841003417966,11.02909021890552
2021-08-13 04:00:00,115.25,103.56773,11.682266235351562,10.13645660334192
2021-08-13 05:00:00,115.25,103.94415,11.30584716796875,9.809845698888287
2021-08-13 06:00:00,118.05,108.69725,9.35274963378906,7.9227019345947145
2021-08-13 07:00:00,119.97,110.232086,9.737913818359374,8.116957421321477
2021-08-13 08:00:00,121.5,110.71945,10.780548095703125,8.872879091113683
2021-08-13 09:00:00,120.67,108.45835,12.211648864746095,10.119871438423878
2021-08-13 10:00:00,120.02,107.2961,12.723903198242184,10.601485750910001
2021-08-13 11:00:00,115.95,108.47452,7.475482177734378,6.447160136036548
2021-08-13 12:00:00,108.0,109.10796,1.1079635620117188,1.0258921870478876
2021-08-13 13:00:00,105.18,110.234116,5.054115600585931,4.805205933243896
2021-08-13 14:00:00,95.9,109.785805,13.88580474853515,14.479462720057507
2021-08-13 15:00:00,89.74,105.53043,15.790433654785161,17.595758474242437
2021-08-13 16:00:00,89.14,99.87638,10.736380920410156,12.04440309671321
2021-08-13 17:00:00,90.74,99.96103,9.22102905273438,10.162033340020256
2021-08-13 18:00:00,107.32,105.455605,1.864395446777337,1.7372301964007983
2021-08-13 19:00:00,120.65,118.78078,1.8692230224609432,1.5492938437305788
2021-08-13 20:00:00,125.98,125.96151,0.01849029541016023,0.014677167336212278
2021-08-13 21:00:00,130.0,127.85396,2.1460418701171875,1.650801438551683
